"islandora:root","utk","ir","Univserity of Tennessee TRACE Root","islandora:collectionCModel"
"utk:ir","utk.ir","ahura","UTIA AHUR - UT Institute of Agriculture: Administrative History and University Records","islandora:collectionCModel,islandora:binaryObjectCModel,ir:citationCModel"
"utk:ir","utk.ir","dem","Democracy and Tradition","islandora:binaryObjectCModel,ir:citationCModel"
"utk:ir","utk.ir","nip","Newsletters & In-House Publications","islandora:binaryObjectCModel,ir:citationCModel"
"utk.ir:nip","utk.ir","nip-ff","The 4-Hour Film Festival","islandora:binaryObjectCModel,ir:citationCModel"
"utk:ir","utk.ir","np","Newfound Press","islandora:collectionCModel,islandora:binaryObjectCModel,ir:citationCModel"
"utk:ir","utk.ir","fg","Faculty and Graduate Student Research and Creative Work","islandora:collectionCModel,islandora:binaryObjectCModel,ir:citationCModel"
"utk:ir","utk.ir","supug","Supervised Undergraduate Student Research and Creative Work","islandora:collectionCModel,islandora:binaryObjectCModel,ir:citationCModel"
"utk.ir:supug","utk.ir","supug-eureca","EUReCA: Exhibition of Undergraduate Research and Creative Achievement","islandora:binaryObjectCModel,ir:citationCModel"
"utk:ir","utk.ir","icook","Icook","islandora:binaryObjectCModel,ir:citationCModel"
"utk:ir","utk.ir","tdsoapd","Tennessee Department of State, Opinions from the Administrative Procedures Division","islandora:binaryObjectCModel,ir:citationCModel"
"utk:ir","utk.ir","tcwccwcab","Tennessee Court of Workers' Compensation Claims and Workers' Compensation Appeals Board","islandora:binaryObjectCModel,ir:citationCModel"
"utk:ir","utk.ir","ivsws","International Veterinary Social Work Summit","islandora:binaryObjectCModel,ir:citationCModel"
"utk:ir","utk.ir","vpac","Veterinary Partners Appreciation Conference","islandora:binaryObjectCModel,ir:citationCModel"
"utk:ir","utk.ir","bic","Black Issues Conference","islandora:binaryObjectCModel,ir:citationCModel"
"utk:ir","utk.ir","td","Thesis and Dissertations","ir:thesisCModel"
